2023-06-30 00:00:00,Total,High Quality
Netherlands,9948674,3672388
Germany,6664821,4699449
United Kingdom,5734660,3822716
Spain,4986023,2130458
France,4983714,1904350
Sweden,4726719,2476668
Poland,3931547,1395641
Norway,3656701,453381
Austria,2760680,1292193
Belgium,2665590,2200229
Italy,1949175,597879
Denmark,1541324,317514
Czech Republic,1370102,625057
Hungary,1171094,839635
Finland,1154982,1013663
Estonia,888794,591892
Greece,667416,455863
Europe,527511,229993
Lithuania,526852,468673
Slovenia,516715,398507
Israel,404505,397128
Romania,346731,218578
United States of America,318783,21529
Croatia,179130,129550
Portugal,165846,87617
Bulgaria,151406,111521
Latvia,121892,112986
Ireland,119677,46605
Switzerland,98177,45677
Serbia,84619,76700
Luxembourg,65601,1319
Cyprus,62733,39100
Malta,53164,1121
Slovakia,31470,14045
Russia,14534,28
Iceland,9970,1365
Moldova,4300,0
Turkey,3196,1492
Ukraine,2886,2843
Belarus,2092,2092
Albania,1027,722
North Macedonia,347,5
Montenegro,82,82
Georgia,34,34
Azerbaijan,27,27
Bosnia and Herzegovina,27,0
